school_name,rating,n_reviews,nces_name_plus_zipcode,state_name_public_school_latest_available_year,state_name_public_school_2020_21,state_abbr_public_school_latest_available_year,school_name_public_school_2020_21,school_id_nces_assigned_public_school_latest_available_year,agency_name_public_school_2020_21,agency_id_nces_assigned_public_school_latest_available_year,location_address_1_public_school_2020_21,location_address_2_public_school_2020_21,location_address_3_public_school_2020_21,location_zip_public_school_2020_21,school_type_public_school_2020_21,agency_type_district_2020_21,start_of_year_status_public_school_2020_21,updated_status_public_school_2020_21,effective_date_of_updated_status_public_school_2020_21,charter_school_public_school_2020_21,magnet_school_public_school_2020_21,locale_public_school_2020_21,school_wide_title_i_public_school_2020_21,title_i_eligible_school_public_school_2020_21,title_i_school_status_public_school_2020_21,latitude_public_school_2020_21,longitude_public_school_2020_21,state_school_id_public_school_2020_21,state_agency_id_public_school_2020_21,national_school_lunch_program_public_school_2020_21,virtual_school_status_sy_2016_17_onward_public_school_2020_21,charter_authorizer_state_id_primary_public_school_2020_21,school_level_sy_2017_18_onward_public_school_2020_21,lowest_grade_offered_public_school_2020_21,highest_grade_offered_public_school_2020_21,total_students_all_grades_excludes_ae_public_school_2020_21,american_indian_alaska_native_students_public_school_2020_21,asian_or_asian_pacific_islander_students_public_school_2020_21,hispanic_students_public_school_2020_21,black_or_african_american_students_public_school_2020_21,white_students_public_school_2020_21,nat_hawaiian_or_other_pacific_isl_students_public_school_2020_21,two_or_more_races_students_public_school_2020_21,full_time_equivalent_fte_teachers_public_school_2020_21,pupil_teacher_ratio_public_school_2020_21
MULL ELEMENTARY,3.3,3,MULL ELEMENTARY 28655,North Carolina,NORTH CAROLINA,NC,Mull Elementary,370048000187,Burke County Schools,3700480,1140 Old NC 18 South,†,†,28655,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.7048,-81.6596,NC-120-360,NC-120,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,260,1,6,24,13,206,"=""0""",10,19.54,13.31
MURPHEY TRADITIONAL ACADEMY,2.6,9,MURPHEY TRADITIONAL ACADEMY 27403,North Carolina,NORTH CAROLINA,NC,Murphey Traditional Academy,370192000791,Guilford County Schools,3701920,2306 Ontario Street,†,†,27403,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,36.0468,-79.8292,NC-410-478,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,252,"=""0""",35,66,137,5,2,7,19.14,13.17
MURPHY ELEMENTARY,4,3,MURPHY ELEMENTARY 28906,North Carolina,NORTH CAROLINA,NC,Murphy Elementary,370078000322,Cherokee County Schools,3700780,315 Valley River Avenue,†,†,28906,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,35.0899,-84.0305,NC-200-324,NC-200,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,386,4,4,17,12,320,1,28,39.11,9.87
MURPHY HIGH,5,4,MURPHY HIGH 28906,North Carolina,NORTH CAROLINA,NC,Murphy High,370078000323,Cherokee County Schools,3700780,234 High School Circle,†,†,28906,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.1005,-84.0164,NC-200-328,NC-200,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,461,5,4,24,11,405,1,11,38.81,11.88
MURPHY MIDDLE,5,1,MURPHY MIDDLE 28906,North Carolina,NORTH CAROLINA,NC,Murphy Middle,370078001056,Cherokee County Schools,3700780,65 Middle School Drive,†,†,28906,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.1005,-84.0149,NC-200-330,NC-200,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,310,5,6,16,9,258,"=""0""",16,21.74,14.26
MURRAYVILLE ELEMENTARY,4.1,10,MURRAYVILLE ELEMENTARY 28411,North Carolina,NORTH CAROLINA,NC,Murrayville Elementary,370333002787,New Hanover County Schools,3703330,225 Mabee Way,†,†,28411,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,34.2984,-77.8511,NC-650-348,NC-650,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,541,6,12,96,72,309,2,44,37.11,14.58
MYERS PARK HIGH SCHOOL,3.5,32,MYERS PARK HIGH SCHOOL 28209,North Carolina,NORTH CAROLINA,NC,Myers Park High School,370297001244,Charlotte-Mecklenburg Schools,3702970,2400 Colony Rd,†,†,28209,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,†,2-No,6-Not a Title I school,35.170971,-80.832668,NC-600-466,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,3593,6,117,438,767,2181,3,81,173.83,20.67
MYERS PARK TRADITIONAL ELEM,4.3,17,MYERS PARK TRADITIONAL ELEM 28207,North Carolina,NORTH CAROLINA,NC,Myers Park Traditional Elem,370297001245,Charlotte-Mecklenburg Schools,3702970,2132 Radcliffe Ave,†,†,28207,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.1902,-80.8345,NC-600-464,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,638,3,43,63,275,239,"=""0""",15,39.25,16.25
MYRTLE GROVE MIDDLE,3.3,23,MYRTLE GROVE MIDDLE 28409,North Carolina,NORTH CAROLINA,NC,Myrtle Grove Middle,370333002212,New Hanover County Schools,3703330,901 Piner Rd,†,†,28409,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,34.1373,-77.8839,NC-650-351,NC-650,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,767,2,12,137,126,455,"=""0""",35,47.00,16.32
N B MILLS ELEMENTARY,3,6,N B MILLS ELEMENTARY 28677,North Carolina,NORTH CAROLINA,NC,N B Mills Elementary,370231002298,Iredell-Statesville Schools,3702310,1410 Pearl St,†,†,28677,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.7879,-80.9116,NC-490-345,NC-490,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,380,1,1,109,192,52,"=""0""",25,31.00,12.26
N L DILLARD MIDDLE,3.5,4,N L DILLARD MIDDLE 27379,North Carolina,NORTH CAROLINA,NC,N L Dillard Middle,370066000268,Caswell County Schools,3700660,255 Hatchett Road,†,†,27379,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,36.4131,-79.3655,NC-170-338,NC-170,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,553,3,1,48,206,273,"=""0""",22,34.00,16.26
"NAGS HEAD ELEMENTARY SCHOOL",5,4,"NAGS HEAD ELEMENTARY SCHOOL 27959",North Carolina,NORTH CAROLINA,NC,Nags Head Elementary School,370111002758,Dare County Schools,3701110,3100 S Wrightsville Avenue,†,†,27959,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,33-Town: Remote,1-Yes,1-Yes,5-Title I schoolwide school,35.9758,-75.6387,NC-280-310,NC-280,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,536,"=""0""",5,142,4,348,"=""0""",37,39.80,13.47
"NAKINA MIDDLE",4,3,"NAKINA MIDDLE 28455",North Carolina,NORTH CAROLINA,NC,Nakina Middle,370096002979,Columbus County Schools,3700960,9822 Seven Creeks Hwy,†,†,28455,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,34.1081,-78.6544,NC-240-368,NC-240,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,5th Grade,8th Grade,228,1,"=""0""",59,24,139,"=""0""",5,12.90,17.67
"NANCY REYNOLDS ELEMENTARY SCHOOL",4.4,5,"NANCY REYNOLDS ELEMENTARY SCHOOL 27053",North Carolina,NORTH CAROLINA,NC,Nancy Reynolds Elementary School,370438001736,Stokes County Schools,3704380,1585 NC 66 Hwy North,†,†,27053,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,36.437476,-80.343953,NC-850-328,NC-850,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,125,"=""0""","=""0""",5,7,109,"=""0""",4,8.41,14.86
"NANTAHALA SCHOOL",5,2,"NANTAHALA SCHOOL 28781",North Carolina,NORTH CAROLINA,NC,Nantahala School,370276001142,Macon County Schools,3702760,213 Windingstairs Rd,†,†,28781,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,35.2535,-83.6342,NC-560-332,NC-560,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Other,Kindergarten,12th Grade,74,1,"=""0""",7,"=""0""",65,1,"=""0""",12.64,5.85
"NASH CENTRAL MIDDLE",4.8,4,"NASH CENTRAL MIDDLE 27856",North Carolina,NORTH CAROLINA,NC,Nash Central Middle,370327001345,Nash County Public Schools,3703270,1638 South First Street,†,†,27856,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.9564,-77.9567,NC-640-320,NC-640,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,612,4,7,52,284,242,"=""0""",23,38.00,16.11
"NASHVILLE ELEMENTARY",4.2,5,"NASHVILLE ELEMENTARY 27856",North Carolina,NORTH CAROLINA,NC,Nashville Elementary,370327001349,Nash County Public Schools,3703270,209 East Virginia Avenue,†,†,27856,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,23-Suburb: Small,1-Yes,1-Yes,5-Title I schoolwide school,35.9705,-77.9642,NC-640-348,NC-640,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,667,5,5,35,328,266,1,27,47.10,14.16
"NATHANAEL GREENE ELEMENTARY",4.4,7,"NATHANAEL GREENE ELEMENTARY 27298",North Carolina,NORTH CAROLINA,NC,Nathanael Greene Elementary,370192000839,Guilford County Schools,3701920,2717 NC Highway 62 East,†,†,27298,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.9461,-79.6069,NC-410-481,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,244,1,"=""0""",22,3,205,1,12,19.70,12.39
"NATIONS FORD ELEMENTARY",3.9,22,"NATIONS FORD ELEMENTARY 28217",North Carolina,NORTH CAROLINA,NC,Nations Ford Elementary,370297001246,Charlotte-Mecklenburg Schools,3702970,7050 Nations Ford Rd,†,†,28217,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.156178,-80.906134,NC-600-471,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,885,2,9,659,205,4,"=""0""",6,60.33,14.67
NC LEADERSHIP CHARTER ACADEMY,3.2,43,NC LEADERSHIP CHARTER ACADEMY 27284,North Carolina,NORTH CAROLINA,NC,NC Leadership Charter Academy,370034303289,NC Leadership Charter Academy,3700343,4353 High Point Rd,†,†,27284,1-Regular school,7-Independent Charter District,1-Open,1-Open,12/14/2020,1-Yes,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.04657,-80.111269,NC-34H-000,NC-34H,No,NOTVIRTUAL,"=""01SBE""",Other,Kindergarten,12th Grade,1027,3,22,89,53,784,5,71,59.07,17.39
NC SCHOOL FOR THE DEAF,4.3,12,NC SCHOOL FOR THE DEAF 28655,North Carolina,NORTH CAROLINA,NC,NC School for the Deaf,370032003234,Deaf and Blind Schools,3700320,517 W Fleming Dr,†,†,28655,2-Special education school,5-State agency providing elementary and/or secondary level instruction,1-Open,1-Open,12/14/2020,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,35.73,-81.6909,NC-298-204,NC-298,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Other,Prekindergarten,12th Grade,68,"=""0""",7,16,12,26,"=""0""",7,20.39,3.33
NCVPS,5,1,NCVPS 27606,North Carolina,NORTH CAROLINA,NC,NCVPS,370035503306,NC Virtual Public School,3700355,1017 Main Campus Dr,Partners 1 Bldg Ste 3900,†,27606,1-Regular school,8-Other education agencies,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,35.7704,-78.6774,NC-299-300,NC-299,Yes participating without using any Provision or the CEO,FULLVIRTUAL,†,High,7th Grade,13th Grade,–,–,–,–,–,–,–,–,–,–
NEAL MIDDLE,3.3,27,NEAL MIDDLE 27704,North Carolina,NORTH CAROLINA,NC,Neal Middle,370126000544,Durham Public Schools,3701260,201 Baptist Road,†,†,27704,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.9777,-78.7819,NC-320-355,NC-320,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Middle,6th Grade,8th Grade,831,2,8,381,387,34,"=""0""",19,63.81,13.02
NEBO ELEMENTARY SCHOOL,4.8,8,NEBO ELEMENTARY SCHOOL 28761,North Carolina,NORTH CAROLINA,NC,Nebo Elementary School,370294001180,McDowell County Schools,3702940,254 Nebo School Road,†,†,28761,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.715,-81.9292,NC-590-332,NC-590,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,342,"=""0""",6,31,13,276,"=""0""",16,25.40,13.46
NEEDHAM BROUGHTON HIGH,3.6,50,NEEDHAM BROUGHTON HIGH 27605,North Carolina,NORTH CAROLINA,NC,Needham Broughton High,370472001839,Wake County Schools,3704720,723 Saint Mary's St,†,†,27605,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,†,2-No,6-Not a Title I school,35.7903,-78.6523,NC-920-348,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,2074,4,48,297,446,1195,1,83,121.37,17.09
NESBITT DISCOVERY ACADEMY,4.6,40,NESBITT DISCOVERY ACADEMY 28806,North Carolina,NORTH CAROLINA,NC,Nesbitt Discovery Academy,370045003320,Buncombe County Schools,3700450,175 Bingham Rd Ste 10,†,†,28806,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,35.6069,-82.583401,NC-110-500,NC-110,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,381,"=""0""",13,34,7,312,1,14,17.61,21.64
NEUSE CHARTER SCHOOL,3,25,NEUSE CHARTER SCHOOL 27577,North Carolina,NORTH CAROLINA,NC,Neuse Charter School,370014402925,Neuse Charter School,3700144,909 Booker Dairy Rd,†,†,27577,1-Regular school,7-Independent Charter District,1-Open,1-Open,12/14/2020,1-Yes,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,35.53229,-78.32164,NC-51A-000,NC-51A,No,NOTVIRTUAL,"=""01SBE""",Other,Kindergarten,12th Grade,927,7,5,117,122,614,1,61,59.25,15.65
NEUSE RIVER MIDDLE,3,36,NEUSE RIVER MIDDLE 27604,North Carolina,NORTH CAROLINA,NC,Neuse River Middle,370472002255,Wake County Schools,3704720,2700 Old Milburnie Rd,†,†,27604,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.8261,-78.5022,NC-920-410,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,806,"=""0""",10,383,300,91,1,21,58.33,13.82
NEW BERN HIGH,3.2,19,NEW BERN HIGH 28562,North Carolina,NORTH CAROLINA,NC,New Bern High,370331000388,Craven County Schools,3703310,4200 Academic Drive,†,†,28562,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,35.1005,-77.1155,NC-250-356,NC-250,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1616,2,122,129,514,783,1,65,88.56,18.25
NEW BRIDGE MIDDLE,3,23,NEW BRIDGE MIDDLE 28540,North Carolina,NORTH CAROLINA,NC,New Bridge Middle,370345002402,Onslow County Schools,3703450,401 New Bridge Street,†,†,28540,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,34.751343,-77.425564,NC-670-331,NC-670,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Middle,6th Grade,8th Grade,426,1,6,56,75,249,2,37,25.00,17.04
NEW CENTURY INTERNATIONAL ELEMENTARY,4.3,15,NEW CENTURY INTERNATIONAL ELEMENTARY 28306,North Carolina,NORTH CAROLINA,NC,New Century International Elementary,370001103160,Cumberland County Schools,3700011,7465 Century Circle,†,†,28306,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,35.011755,-79.044104,NC-260-403,NC-260,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Elementary,Prekindergarten,5th Grade,650,7,27,108,245,184,3,76,48.00,13.54
NEW CENTURY INTERNATIONAL MIDDLE,3.5,11,NEW CENTURY INTERNATIONAL MIDDLE 28306,North Carolina,NORTH CAROLINA,NC,New Century International Middle,370001103248,Cumberland County Schools,3700011,7455 Century Circle,†,†,28306,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.011,-79.03916,NC-260-417,NC-260,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Middle,6th Grade,8th Grade,368,"=""0""",7,63,171,99,"=""0""",28,27.00,13.63
NEW CENTURY MIDDLE,3,9,NEW CENTURY MIDDLE 28326,North Carolina,NORTH CAROLINA,NC,New Century Middle,370309002329,Moore County Schools,3703090,1577 Union Church Road,†,†,28326,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,35.3247,-79.3554,NC-630-331,NC-630,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,584,3,5,52,45,444,1,34,38.25,15.27
NEW DIMENSIONS,3.8,25,NEW DIMENSIONS 28655,North Carolina,NORTH CAROLINA,NC,New Dimensions,370011802603,The New Dimensions School,3700118,550 Lenoir Road,†,†,28655,1-Regular school,7-Independent Charter District,1-Open,1-Open,12/14/2020,1-Yes,2-No,13-City: Small,2-No,1-Yes,2-Title I targeted assistance school,35.772675,-81.687642,NC-12A-000,NC-12A,No,NOTVIRTUAL,"=""01SBE""",Elementary,Kindergarten,8th Grade,386,1,7,13,15,323,"=""0""",27,24.22,15.94
NEW HANOVER HIGH,3.7,18,NEW HANOVER HIGH 28401,North Carolina,NORTH CAROLINA,NC,New Hanover High,370333001384,New Hanover County Schools,3703330,1307 Market St,†,†,28401,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,34.2374,-77.9324,NC-650-352,NC-650,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1535,1,16,322,475,672,"=""0""",49,95.35,16.10
NEW HOPE ELEMENTARY,4.7,3,NEW HOPE ELEMENTARY 28056,North Carolina,NORTH CAROLINA,NC,New Hope Elementary,370162000700,Gaston County Schools,3701620,137 Stowe Road,†,†,28056,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,35.2105,-81.0837,NC-360-464,NC-360,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,484,2,16,44,49,354,"=""0""",19,30.89,15.67
NEW HOPE ELEMENTARY,3.7,3,NEW HOPE ELEMENTARY 27896,North Carolina,NORTH CAROLINA,NC,New Hope Elementary,370502002004,Wilson County Schools,3705020,4826 Packhouse Rd,†,†,27896,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,31-Town: Fringe,†,2-No,6-Not a Title I school,35.7822,-77.952,NC-980-360,NC-980,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,430,2,26,84,80,225,1,12,28.20,15.25
NEW HOPE ELEMENTARY,3.8,9,NEW HOPE ELEMENTARY 27514,North Carolina,NORTH CAROLINA,NC,New Hope Elementary,370348002313,Orange County Schools,3703480,1900 New Hope Church Rd,†,†,27514,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,36.0199,-79.0751,NC-680-330,NC-680,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,526,2,3,287,42,157,"=""0""",35,46.20,11.39
NEW MARKET ELEMENTARY SCHOOL,4.5,17,NEW MARKET ELEMENTARY SCHOOL 27350,North Carolina,NORTH CAROLINA,NC,New Market Elementary School,370378001524,Randolph County School System,3703780,6096 US Hwy 311,†,†,27350,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.8323,-79.8655,NC-760-336,NC-760,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,389,1,8,76,8,284,"=""0""",12,29.17,13.34
NEW SALEM ELEMENTARY,4.5,2,NEW SALEM ELEMENTARY 28103,North Carolina,NORTH CAROLINA,NC,New Salem Elementary,370462001796,Union County Public Schools,3704620,6106 Hwy 205,†,†,28103,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,35.1295,-80.3709,NC-900-340,NC-900,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,227,"=""0""","=""0""",7,3,216,"=""0""",1,15.00,15.13
NEW TOWN ELEMENTARY,5,6,NEW TOWN ELEMENTARY 28173,North Carolina,NORTH CAROLINA,NC,New Town Elementary,370462002821,Union County Public Schools,3704620,1100 Waxhaw-Indian Tr. Rd.,†,†,28173,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,34.9782,-80.7055,NC-900-305,NC-900,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,755,"=""0""",48,55,47,575,"=""0""",30,45.50,16.59
NEWELL ELEMENTARY,3.7,18,NEWELL ELEMENTARY 28213,North Carolina,NORTH CAROLINA,NC,Newell Elementary,370297001247,Charlotte-Mecklenburg Schools,3702970,325 Rocky River Road West,†,†,28213,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.286611,-80.753691,NC-600-474,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,717,"=""0""",23,357,301,25,"=""0""",11,54.50,13.16
NEWLAND ELEMENTARY,5,1,NEWLAND ELEMENTARY 28657,North Carolina,NORTH CAROLINA,NC,Newland Elementary,370030000088,Avery County Schools,3700300,750 Linville Street,†,†,28657,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,36.081949,-81.922679,NC-060-328,NC-060,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Elementary,Prekindergarten,5th Grade,216,1,1,67,"=""0""",145,"=""0""",2,19.73,10.95
NEWPORT ELEMENTARY,4.2,5,NEWPORT ELEMENTARY 28570,North Carolina,NORTH CAROLINA,NC,Newport Elementary,370063000257,Carteret County Public Schools,3700630,219 Chatham Street,†,†,28570,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,34.7908,-76.8599,NC-160-324,NC-160,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,683,2,4,73,42,487,3,72,57.80,11.82
NEWPORT MIDDLE,2.2,9,NEWPORT MIDDLE 28570,North Carolina,NORTH CAROLINA,NC,Newport Middle,370063002572,Carteret County Public Schools,3700630,500 E Chatham Street,†,†,28570,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,34.7737,-76.8616,NC-160-326,NC-160,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,381,3,1,34,29,288,3,23,28.03,13.59
