school_name,rating,n_reviews,nces_name_plus_zipcode,state_name_public_school_latest_available_year,state_name_public_school_2020_21,state_abbr_public_school_latest_available_year,school_name_public_school_2020_21,school_id_nces_assigned_public_school_latest_available_year,agency_name_public_school_2020_21,agency_id_nces_assigned_public_school_latest_available_year,location_address_1_public_school_2020_21,location_address_2_public_school_2020_21,location_address_3_public_school_2020_21,location_zip_public_school_2020_21,school_type_public_school_2020_21,agency_type_district_2020_21,start_of_year_status_public_school_2020_21,updated_status_public_school_2020_21,effective_date_of_updated_status_public_school_2020_21,charter_school_public_school_2020_21,magnet_school_public_school_2020_21,locale_public_school_2020_21,school_wide_title_i_public_school_2020_21,title_i_eligible_school_public_school_2020_21,title_i_school_status_public_school_2020_21,latitude_public_school_2020_21,longitude_public_school_2020_21,state_school_id_public_school_2020_21,state_agency_id_public_school_2020_21,national_school_lunch_program_public_school_2020_21,virtual_school_status_sy_2016_17_onward_public_school_2020_21,charter_authorizer_state_id_primary_public_school_2020_21,school_level_sy_2017_18_onward_public_school_2020_21,lowest_grade_offered_public_school_2020_21,highest_grade_offered_public_school_2020_21,total_students_all_grades_excludes_ae_public_school_2020_21,american_indian_alaska_native_students_public_school_2020_21,asian_or_asian_pacific_islander_students_public_school_2020_21,hispanic_students_public_school_2020_21,black_or_african_american_students_public_school_2020_21,white_students_public_school_2020_21,nat_hawaiian_or_other_pacific_isl_students_public_school_2020_21,two_or_more_races_students_public_school_2020_21,full_time_equivalent_fte_teachers_public_school_2020_21,pupil_teacher_ratio_public_school_2020_21
ALEXANDER CENTRAL HIGH,4,5,ALEXANDER CENTRAL HIGH 28681,North Carolina,NORTH CAROLINA,NC,Alexander Central High,370009000028,Alexander County Schools,3700090,223 School Drive,†,†,28681,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,31-Town: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.917,-81.1889,NC-020-302,NC-020,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1229,2,8,114,58,989,1,57,86.38,14.23
ALEXANDER GRAHAM MIDDLE,3.5,24,ALEXANDER GRAHAM MIDDLE 28211,North Carolina,NORTH CAROLINA,NC,Alexander Graham Middle,370297001188,Charlotte-Mecklenburg Schools,3702970,1800 Runnymede Lane,†,†,28211,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,35.1667,-80.832716,NC-600-399,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,1336,4,38,332,316,615,2,29,76.00,17.58
ALEXANDER WILSON ELEMENTARY,3.9,7,ALEXANDER WILSON ELEMENTARY 27253,North Carolina,NORTH CAROLINA,NC,Alexander Wilson Elementary,370003000001,Alamance-Burlington Schools,3700030,2518 NC 54,†,†,27253,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.0297,-79.3467,NC-010-304,NC-010,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,583,1,12,156,54,333,1,26,40.65,14.34
ALGER B. WILKINS HIGH SCHOOL,5,2,ALGER B. WILKINS HIGH SCHOOL 28303,North Carolina,NORTH CAROLINA,NC,Alger B. Wilkins High School,370001102981,Cumberland County Schools,3700011,1429 Skibo Road,†,†,28303,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.083313,-78.951917,NC-260-374,NC-260,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,67,"=""0""","=""0""",4,52,7,"=""0""",4,13.55,4.94
ALLEGHANY HIGH,4.7,3,ALLEGHANY HIGH 28675,North Carolina,NORTH CAROLINA,NC,Alleghany High,370012000037,Alleghany County Schools,3700120,404 Trojan Avenue,†,†,28675,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.513676,-81.122745,NC-030-304,NC-030,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,407,1,"=""0""",88,2,307,"=""0""",9,34.87,11.67
ALLEN JAY ELEMENTARY,3.9,8,ALLEN JAY ELEMENTARY 27263,North Carolina,NORTH CAROLINA,NC,Allen Jay Elementary,370192000817,Guilford County Schools,3701920,1311 East Springfield Road,†,†,27263,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,35.9323,-79.9556,NC-410-310,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,436,"=""0""",143,103,107,65,"=""0""",18,35.40,12.32
ALLEN JAY MIDDLE - A PREPARATORY ACADEMY,3.8,39,ALLEN JAY MIDDLE - A PREPARATORY ACADEMY 27263,North Carolina,NORTH CAROLINA,NC,Allen Jay Middle - A Preparatory Academy,370192003295,Guilford County Schools,3701920,1201 East Fairfield Rd,†,†,27263,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,35.9246,-79.9607,NC-410-311,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,5th Grade,8th Grade,371,"=""0""",9,51,223,66,1,21,26.12,14.20
ALLENBROOK ELEMENTARY,4.1,11,ALLENBROOK ELEMENTARY 28208,North Carolina,NORTH CAROLINA,NC,Allenbrook Elementary,370297001190,Charlotte-Mecklenburg Schools,3702970,1430 Allenbrook Dr,†,†,28208,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.2618,-80.915,NC-600-308,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,279,"=""0""",25,56,178,5,"=""0""",15,18.20,15.33
ALMA O EASOM ELEMENTARY,3.6,8,ALMA O EASOM ELEMENTARY 28305,North Carolina,NORTH CAROLINA,NC,Alma O Easom Elementary,370001102119,Cumberland County Schools,3700011,1610 Westlawn Avenue,†,†,28305,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,35.060879,-78.908525,NC-260-302,NC-260,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Elementary,Kindergarten,1st Grade,208,1,6,19,61,99,"=""0""",22,20.00,10.40
ALPHA ACADEMY,2.6,74,ALPHA ACADEMY 28304,North Carolina,NORTH CAROLINA,NC,Alpha Academy,370010302511,Alpha Academy,3700103,8030 Raeford Road,†,†,28304,1-Regular school,7-Independent Charter District,1-Open,1-Open,12/14/2020,1-Yes,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,35.03427,-79.067271,NC-26B-000,NC-26B,No,NOTVIRTUAL,"=""01SBE""",Other,Kindergarten,11th Grade,956,4,8,178,573,94,17,82,52.41,18.24
